ID,Nombre,Precio,Descripción,SKU,URL Imagen
5863,BACKER ROD,1120.50,"<p>Cordón de espuma de polietileno de baja densidad para todo tipo de juntas constructivas como dilatación y contracción.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_010646137.png
5857,FOAMTECH 1/2",781.65,"<p>Relleno para juntas de expansión, permite la sustitución de las juntas tradicionales impregnadas con asfalto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/FOAMTECH2-12X10X30.jpg
5851,FOAMTECH 1/4",271.35,"<p>Relleno para juntas de expansión, permite la sustitución de las juntas tradicionales impregnadas con asfalto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_004550340.png
5849,LAMINA DE POLIETILENO CAL 600,9.50,"<p>Película plástica negra o transparente utilizada para proteger concreto recién colado de la lluvia y para aislar terracerías de las losas de concreto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-01_233338818.png
5846,LAMINA DE POLIETILENO CAL 300,9.50,"<p>Película plástica negra o transparente utilizada para proteger concreto recién colado de la lluvia y para aislar terracerías de las losas de concreto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-01_233338818.png
5843,NON WOVEN,1255.50,"<p>Membrana de refuerzo multidireccional para sistemas impermeables aplicados en frío, base solvente, base agua o sistemas acrílicos.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-01_232856737.png
5839,MALLAFLEX,573.75,"<p>Membrana de refuerzo de poliéster para sistemas impermeables aplicados en frío, base solvente, base agua o sistemas acrílicos.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_120646365.png
5829,GEOTEXTIL,7627.50,"<p>Membrana no tejida punzonada de compuestos de fibras cortas de poliéster para protección de rellenos sanitarios y terracerías.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_120154326.png
5826,PRIMARIO ACRILBAU,648.00,"<p>Primario acrílico para potenciar la adherencia de impermeabilizantes acrílicos.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5822,CEMENCRIL,324.00,"<p>Cemento acrílico para sellar grietas en las losas antes de aplicar el sistema ACRILBAU.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5812,ACRILBAU,256.50,"<p>Impermeabilizante acrílico elastomérico para losas de concreto a la intemperie en superficies horizontales y verticales.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5810,AISLABAU,1309.50,"<p>Impermeabilizante acrílico y aislante térmico para zonas cálidas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5805,VAPORBAU,300.00,"<p>Impermeabilizante asfáltico base solvente para charolas de baños, jardineras, cuartos de refrigeración y superficies bajo teja u otro recubrimiento.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5800,PRIMARIO BITUBAU,250.00,"<p>Primario asfáltico base agua para potenciar la adherencia de impermeabilizantes base agua, base solvente y prefabricados (BAUTECH ROOF).</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5796,HIDROBAU,1350.00,"<p>Primario asfáltico base solvente para potenciar la adherencia de impermeabilizantes base solvente y prefabricados (BAUTECH ROOF).</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5791,BITUCEMENT,290.00,"<p>Sellador asfáltico base solvente para sellado de grietas, calafateo de juntas y canalones.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5786,BITUBAU,180.00,"<p>Impermeabilizante asfáltico base agua para impermeabilizar techos, muros y cadenas de desplante.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5784,ENDUBAU “S” MINERAL “LPU”,500.00,"<p>Endurecedor mineral para superficies de concreto con tránsito liviano o moderado.</p>",,
5781,ENDUBAU “S” MINERAL,440.00,"<p>Endurecedor mineral para superficies de concreto con tránsito liviano o moderado.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_010016548.png
5777,EXPANBAU “NM”,135.00,"<p>Estabilizador de volumen, grout no metálico, empleado como relleno de expansión controlada y de alta adherencia en la colocación de anclajes de maquinaria y estructuras metálicas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_005620056.png
5774,GROUTECH “AF”,420.00,"<p>Estabilizador de volumen, grout no metálico de alta fluidez, empleado como relleno de expansión controlada y de alta adherencia en la colocación de anclajes de maquinaria y estructuras metálicas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_005126943.png
5771,GROUTECH “AR”,500.00,"<p>Estabilizador de volumen, grout no metálico de alta resistencia, empleado como relleno de expansión controlada y de alta adherencia, utilizado en la colocación de anclajes de maquinaria y estructuras metálicas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/imagen_2023-04-20_004948041.png
5767,MOLDUBAU «E-BB»,750.00,"<p>Desmoldante emulsionado de alto desempeño principalmente diseñado para romper la adherencia en piezas de concreto coladas sobre concreto y utilizado en cimbras de madera, plásticas y aluminio.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5761,MOLDUBAU «E»,550.00,"<p>Desmoldante emulsionado utilizado principalmente en cimbras metálicas o plásticas y aluminio.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5752,MOLDUBAU «LKS»,21900.00,"<p>Desmoldante base keroseno utilizado principalmente en casetones de fibra de vidrio o cimbras metálicas, de madera, aluminio y plásticas.</p>",,
5728,MOLDUBAU “LC”,1600.00,"<p>Desmoldante líquido a base de hidrocarburos de mayor rendimiento utilizado.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5715,CURAFILM,3747.00,"<p>Membrana protectora de humedad, reduce la evaporación de agua en concreto fresco expuesto a temperaturas altas o viento.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/04/membranasCurado-curafilm.jpg
